Wavelength,Resp
780,1.2310E-01
790,1.3168E-01
800,1.4042E-01
810,1.4936E-01
820,1.5920E-01
830,1.6834E-01
840,1.7863E-01
850,1.8843E-01
860,1.9956E-01
870,2.1005E-01
880,2.2137E-01
890,2.3209E-01
900,2.4314E-01
910,2.5412E-01
920,2.6622E-01
930,2.7834E-01
940,2.9047E-01
950,3.0227E-01
960,3.1739E-01
970,3.2614E-01
980,3.3841E-01
990,3.5232E-01
1000,3.6628E-01
1010,3.7754E-01
1020,3.9089E-01
1030,4.0467E-01
1040,4.1517E-01
1050,4.2904E-01
1060,4.4178E-01
1070,4.5557E-01
1080,4.6775E-01
1090,4.8249E-01
1100,4.9459E-01
1110,5.0877E-01
1120,5.2404E-01
1130,5.3755E-01
1140,5.5169E-01
1150,5.6619E-01
1160,5.8114E-01
1170,5.9411E-01
1180,6.0798E-01
1190,6.2004E-01
1200,6.3208E-01
1210,6.4392E-01
1220,6.5515E-01
1230,6.6694E-01
1240,6.7779E-01
1250,6.8937E-01
1260,6.9991E-01
1270,7.0986E-01
1280,7.2024E-01
1290,7.3036E-01
1300,7.3934E-01
1310,7.4945E-01
1320,7.5975E-01
1330,7.7008E-01
1340,7.7999E-01
1350,7.9052E-01
1360,8.0173E-01
1370,8.1076E-01
1380,8.1658E-01
1390,8.2751E-01
1400,8.3524E-01
1410,8.4381E-01
1420,8.5426E-01
1430,8.6407E-01
1440,8.7374E-01
1450,8.8367E-01
1460,8.9282E-01
1470,9.0383E-01
1480,9.1360E-01
1490,9.2326E-01
1500,9.3227E-01
1510,9.4144E-01
1520,9.5137E-01
1530,9.6063E-01
1540,9.6712E-01
1550,9.6608E-01
1560,9.5647E-01
1570,9.2985E-01
1580,8.7735E-01
1590,8.0151E-01
1600,7.1355E-01
1610,6.2377E-01
1620,5.4989E-01
1630,4.9259E-01
1640,4.4652E-01
1650,4.0797E-01
1660,3.7714E-01
1670,3.4642E-01
1680,3.1783E-01
1690,2.9132E-01
1700,2.6986E-01
1710,2.5035E-01
1720,2.3150E-01
1730,2.1106E-01
1740,1.8799E-01
1750,1.6703E-01
1760,1.4701E-01
1770,1.3173E-01
1780,1.1333E-01
1790,9.7765E-02
1800,8.4595E-02
